"2294","4","down","flat","up"
"5441.60","5596.40","5661.40","5611.50","0"
"5404.90","5550.30","5646.60","5608.90","2"
"5411.10","5510.40","5634.60","5607.40","1"
"5446.10","5466.40","5622.20","5607.50","2"
"5489.70","5457.30","5615.20","5607.20","1"
"5531.10","5460.30","5607.40","5607.20","0"
"5517.00","5465.70","5600.00","5606.30","0"
"5464.50","5466.90","5587.60","5602.60","0"
"5364.60","5454.20","5566.10","5596.30","2"
"5343.00","5447.50","5549.50","5592.60","1"
"5386.00","5437.00","5533.00","5589.90","2"
"5420.60","5427.70","5518.90","5588.80","2"
"5481.10","5422.80","5508.40","5588.20","1"
"5502.70","5423.70","5498.80","5588.20","2"
"5550.30","5447.30","5493.30","5587.90","2"
"5616.60","5495.60","5489.20","5588.30","0"
"5605.50","5522.30","5479.90","5587.20","1"
"5581.70","5551.60","5479.80","5587.10","0"
"5569.90","5564.90","5481.70","5586.90","2"
"5592.10","5583.30","5490.30","5588.40","1"
"5632.80","5602.10","5500.80","5588.80","1"
"5639.90","5608.90","5513.80","5590.10","2"
"5678.70","5619.90","5527.60","5592.90","1"
"5725.50","5643.10","5541.80","5594.90","1"
"5740.20","5665.20","5552.60","5597.50","1"
"5753.80","5695.70","5564.00","5601.20","1"
"5759.10","5712.90","5576.80","5603.90","1"
"5750.40","5729.30","5592.60","5605.90","2"
"5769.10","5749.80","5617.30","5609.60","2"
"5825.70","5771.30","5640.90","5613.50","1"
"5860.10","5788.30","5664.70","5617.20","1"
"5847.00","5801.80","5683.50","5620.30","1"
"5832.50","5810.80","5699.80","5623.30","2"
"5884.00","5837.50","5721.70","5628.00","1"
"5928.10","5861.50","5737.60","5633.10","0"
"5901.70","5875.30","5750.20","5636.90","2"
"5916.70","5887.50","5768.70","5643.00","1"
"5945.90","5899.90","5786.60","5648.20","1"
"5937.60","5913.40","5805.50","5652.30","1"
"5945.40","5932.10","5821.90","5657.10","2"
"5975.10","5939.40","5839.70","5662.70","1"
"5997.20","5951.90","5857.70","5667.90","2"
"6036.60","5978.00","5875.50","5675.00","1"
"6070.20","5995.70","5892.10","5682.60","0"
"6052.90","6008.50","5906.80","5689.10","1"
"6042.90","6025.80","5921.00","5695.80","0"
"6032.20","6033.30","5934.10","5700.80","2"
"6031.70","6042.00","5949.20","5710.10","1"
"6038.50","6045.10","5961.00","5720.30","1"
"6038.10","6042.40","5970.40","5732.10","0"
"6033.80","6034.80","5978.40","5744.00","1"
"6022.50","6033.70","5987.90","5756.80","2"
"6064.10","6040.80","6001.60","5770.10","1"
"6095.50","6051.80","6009.10","5782.80","1"
"6089.80","6057.40","6017.70","5794.10","2"
"6105.00","6070.80","6029.40","5805.70","0"
"6084.30","6070.60","6034.50","5816.80","1"
"6052.90","6076.30","6040.10","5829.30","1"
"6064.50","6082.60","6047.20","5844.80","1"
"6063.90","6076.20","6052.00","5858.10","1"
"6049.30","6069.40","6054.60","5871.30","2"
"6073.10","6071.40","6059.60","5884.20","2"
"6136.10","6078.30","6064.50","5897.50","0"
"6147.00","6089.40","6067.30","5910.00","0"
"6102.20","6092.40","6069.50","5919.60","0"
"6028.20","6079.00","6065.80","5926.40","0"
"5934.20","6055.30","6059.70","5932.70","1"
"5886.90","6032.60","6051.30","5938.70","2"
"5911.70","6009.20","6047.00","5946.40","0"
"5919.10","5970.60","6039.40","5951.70","2"
"5916.20","5943.20","6035.20","5957.70","2"
"5990.80","5938.80","6036.20","5965.80","2"
"6076.30","5957.00","6036.40","5973.60","1"
"6096.20","5985.10","6036.30","5980.60","1"
"6079.40","6012.00","6035.40","5987.20","1"
"6082.50","6033.90","6034.10","5993.70","0"
"6061.50","6052.70","6033.10","5999.30","1"
"6026.50","6065.40","6031.40","6004.80","1"
"6013.10","6059.00","6028.00","6009.10","0"
"5978.10","6037.30","6022.80","6010.90","1"
"5947.50","6016.60","6017.80","6012.60","2"
"5974.00","6007.20","6012.90","6016.00","2"
"6030.60","6001.70","6007.30","6020.50","1"
"6040.90","6001.30","6002.30","6022.20","2"
"6048.40","6008.00","6001.90","6025.30","1"
"6084.00","6021.60","6007.90","6029.50","0"
"6078.80","6036.80","6016.30","6031.80","2"
"6081.10","6059.80","6027.30","6034.90","1"
"6103.70","6073.80","6035.50","6038.40","0"
"6061.90","6068.70","6041.60","6039.60","1"
"6010.20","6065.00","6044.90","6039.80","2"
"6052.10","6069.80","6047.70","6041.80","1"
"6110.50","6072.60","6048.40","6042.80","1"
"6121.80","6082.00","6050.30","6043.90","1"
"6112.40","6081.50","6051.70","6045.20","0"
"6047.60","6066.00","6046.80","6044.10","2"
"6030.70","6072.60","6048.60","6045.10","0"
"6011.30","6066.40","6045.30","6043.20","2"
"5983.20","6052.90","6045.60","6042.90","0"
"5958.30","6022.90","6043.30","6040.00","0"
"5872.30","5981.70","6038.10","6036.40","0"
"5756.10","5921.10","6021.50","6029.40","0"
"5659.50","5870.80","6001.00","6020.20","1"
"5645.20","5810.90","5981.90","6011.40","2"
"5698.70","5781.50","5966.00","6004.60","0"
"5702.70","5730.80","5943.80","5995.30","1"
"5668.20","5698.60","5924.90","5988.00","0"
"5640.00","5664.40","5899.70","5978.80","0"
"5565.40","5644.10","5871.10","5968.00","2"
"5576.70","5640.70","5851.20","5959.30","2"
"5684.80","5655.40","5838.60","5953.40","0"
"5687.00","5637.40","5814.70","5943.80","0"
"5536.70","5608.00","5781.20","5929.40","2"
"5509.00","5591.90","5753.40","5918.30","0"
"5524.00","5574.90","5722.40","5906.30","0"
"5460.70","5562.00","5694.70","5895.60","0"
"5354.10","5511.30","5654.70","5883.10","2"
"5314.60","5456.20","5625.00","5872.70","2"
"5381.50","5424.00","5594.50","5861.90","1"
